"Depth
(m)","Level
(mPD)",Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,,,,,,,Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,,,,Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,,,,,,,,,,,,,,,Cum. Displacement Profile (mm),,,,,Cum. Displacement Profile (mm),,,,,,,,,,,,,,,,,,Cum. Displacement Profile (mm),,,,,,Cum. Displacement Profile (mm),,,,,Cum. Displacement Profile (mm),,,,,,,,,,,,,,Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,
2.50,5.220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097.92,1121.74,1120.26,1099.60,1044.26,1122.52,1108.96,1108.68,1114.03,1098.82,1101.45,1103.18,1097.01,1103.34,1094.32,1094.28,1096.34,1091.57,1113.65,1108.69,1140.06,1032.56,1036.86,1029.88,1027.91,1030.72,1032.43,1032.60,1034.02,1031.12,1035.95,1032.37,1034.64,1034.70,1037.58,1032.11,1035.35,1034.89,1037.78,1034.63
3.00,4.720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089.81,1115.43,1116.20,1093.38,1040.06,1116.33,1101.76,1101.46,1111.10,1093.30,1096.84,1100.05,1090.09,1100.06,1082.35,1083.22,1085.08,1078.34,1120.19,1112.18,1136.44,1069.80,1074.12,1066.47,1072.18,1069.37,1070.70,1070.15,1071.31,1069.01,1074.08,1069.52,1071.88,1073.99,1075.22,1071.05,1073.28,1074.35,1078.55,1071.73
3.50,4.220,,,,,,,,,,,,,,,,,,,,345.19,361.02,405.67,551.16,633.88,617.32,666.33,632.59,646.51,646.51,769.57,802.96,853.78,853.78,913.73,913.73,913.73,913.73,987.24,987.24,976.55,976.55,994.25,958.88,1049.94,1020.59,1020.59,1042.45,1042.45,1054.52,1054.52,1082.15,1082.15,1076.77,1103.36,1104.78,1081.04,1028.68,1104.14,1089.73,1089.34,1099.84,1081.92,1085.53,1088.30,1078.30,1088.80,1068.47,1072.57,1074.78,1068.25,1121.67,1112.37,1134.67,1073.47,1077.81,1070.59,1079.64,1074.25,1075.13,1073.77,1075.99,1073.66,1079.14,1073.53,1076.95,1078.84,1081.98,1071.68,1078.17,1078.63,1083.10,1075.97
4.00,3.720,,,,,,,,,,,,,,,,,,,,,,,527.92,612.48,600.95,655.62,627.59,645.76,635.78,761.00,788.65,843.79,841.79,900.37,901.46,900.57,901.14,969.46,972.43,971.23,962.04,979.03,943.44,1035.79,1004.87,1006.18,1027.72,1026.34,1038.59,1041.39,1070.68,1071.64,1052.51,1079.42,1080.39,1056.47,1004.44,1080.46,1065.26,1065.42,1076.31,1058.34,1062.18,1064.61,1054.77,1065.48,1050.53,1059.74,1061.93,1057.60,1115.44,1104.87,1128.37,1066.81,1071.57,1064.87,1073.58,1066.62,1069.18,1067.67,1069.79,1067.62,1074.73,1067.33,1069.72,1073.46,1075.75,1064.87,1072.87,1070.72,1078.57,1069.99
4.50,3.220,,,,,,,,,,,,,,,,,,,,,,,502.68,591.46,583.50,643.65,623.37,645.42,627.06,750.06,777.05,835.31,829.42,888.32,891.04,889.00,888.42,956.07,958.85,959.34,948.70,964.63,929.24,1021.47,990.28,992.30,1012.81,1010.68,1023.48,1027.44,1058.37,1059.98,1030.76,1056.84,1057.85,1033.58,981.65,1057.89,1042.70,1042.93,1054.10,1035.75,1039.81,1041.88,1032.97,1043.00,1031.06,1042.56,1045.46,1043.47,1102.45,1091.39,1116.36,1054.38,1058.88,1052.35,1062.20,1053.62,1056.34,1055.00,1056.66,1054.32,1062.10,1052.31,1056.48,1061.18,1062.33,1051.46,1058.35,1058.24,1065.48,1057.07
5.00,2.720,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.035464,46.04,63.84,63.84,169.08,169.08,169.08,215.00,215.00,247.91,235.72,308.77,345.19,361.02,405.67,471.47,562.78,556.76,619.55,604.36,630.19,612.22,733.54,757.70,816.58,811.91,870.77,875.12,870.25,869.55,937.37,942.50,940.37,928.84,944.63,909.68,1003.41,970.74,973.81,992.43,989.86,1003.02,1006.50,1036.30,1037.60,1003.97,1030.15,1030.92,1006.40,956.97,1030.60,1015.94,1016.57,1027.57,1009.63,1013.46,1015.12,1005.87,1015.97,1006.19,1017.77,1021.10,1018.53,1080.15,1066.72,1091.10,1025.97,1028.57,1021.26,1031.73,1022.04,1026.20,1024.22,1025.60,1023.47,1030.74,1022.75,1024.72,1030.82,1031.01,1019.97,1027.61,1027.88,1035.32,1025.74
5.50,2.220,-12.79,-10.93,-1.32,-13.88,-10.62,-14.56,-14.12,26.19,22.76,41.74,41.89,144.48,144.24,146.18,192.55,189.74,225.55,213.97,286.05,322.14,335.81,381.59,443.88,535.94,529.56,591.99,577.37,603.09,585.41,706.76,730.48,788.94,783.79,842.02,847.28,842.45,840.60,907.87,912.14,911.10,899.11,914.71,880.34,979.72,940.83,943.46,962.15,959.63,972.56,976.45,1004.75,1005.66,974.03,1000.00,1000.77,976.36,926.82,1000.80,986.22,986.08,997.39,979.21,983.33,985.07,975.32,985.35,974.96,986.85,989.94,987.76,1048.30,1035.09,1060.23,994.64,997.58,991.50,1002.23,992.31,996.13,994.37,994.96,992.89,1000.77,991.13,993.98,1001.84,1001.33,990.24,996.36,997.49,1004.19,994.61
6.00,1.720,-21.92,-20.45,-1.21,-23.34,-20.08,-26.81,-23.77,7.07,3.74,22.17,21.79,123.73,123.59,125.50,171.88,168.75,204.21,192.81,264.68,300.13,313.60,358.86,421.77,513.77,507.11,569.48,554.87,580.30,562.64,683.98,705.96,762.63,759.90,817.98,824.37,817.99,815.99,883.10,888.69,885.57,874.08,889.55,855.27,954.34,915.49,917.93,936.40,934.47,946.28,950.29,978.37,979.34,947.58,973.36,974.22,949.59,900.31,973.21,959.60,959.37,970.85,952.69,956.85,958.57,948.76,958.36,948.13,960.41,963.56,961.01,1021.66,1008.25,1032.99,966.67,970.01,963.84,974.45,965.07,968.32,966.79,966.80,964.79,973.66,963.37,965.62,972.62,972.19,962.01,968.80,968.75,975.86,966.49
6.50,1.220,-30.81,-29.67,-10.14,-32.58,-29.23,-38.64,-33.20,-11.98,-15.38,2.78,2.04,103.13,103.18,105.03,151.12,147.79,182.96,171.79,243.17,278.02,291.45,336.31,399.84,491.78,484.88,547.11,532.46,557.65,539.88,661.30,682.70,741.33,736.49,794.15,801.72,794.71,791.68,858.19,864.28,861.31,849.01,864.61,830.27,929.20,890.40,892.48,911.01,909.07,920.44,924.63,952.07,953.27,921.66,947.40,948.30,923.81,874.31,947.64,933.49,933.27,945.01,926.78,930.87,932.48,922.84,932.00,921.95,934.52,937.46,934.71,996.21,981.99,1006.32,939.78,943.34,936.67,947.30,938.59,941.60,940.15,939.92,938.09,948.39,936.52,938.72,945.37,946.44,935.60,940.84,941.71,948.85,939.88
7.00,0.720,-39.13,-38.38,-18.54,-41.15,-37.87,-48.51,-41.95,-30.27,-34.43,-16.50,-17.93,82.75,82.98,84.25,130.50,127.11,162.10,151.11,221.95,256.36,269.29,314.27,378.17,470.13,463.06,525.03,510.22,535.33,517.27,638.56,659.95,717.41,712.98,770.58,779.83,770.77,767.95,834.49,839.29,837.27,824.17,840.14,805.67,904.60,865.78,867.57,885.87,884.32,895.05,899.42,926.66,927.84,896.55,922.09,922.84,898.27,848.91,922.30,908.14,907.92,919.88,901.63,905.79,907.20,897.65,906.36,896.33,909.14,912.24,909.46,970.96,956.28,980.68,915.62,917.82,911.28,922.92,913.73,916.30,914.97,914.58,912.95,923.58,910.94,913.47,920.96,921.72,908.58,915.27,917.55,923.43,914.38
