"Depth
(m)","Level
(mPD)",Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,,,,,,,Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,,,,Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,,,,,,,,,,,,,,,Cum. Displacement Profile (mm),,,,,Cum. Displacement Profile (mm),,,,,,,,,,,,,,,,,,Cum. Displacement Profile (mm),,,,,,Cum. Displacement Profile (mm),,,,,Cum. Displacement Profile (mm),,,,,,,,,,,,,,Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,
12.50,-4.780,-213.02,-216.56,-192.94,-219.17,-213.99,-234.64,-220.37,-349.81,-348.15,-332.98,-337.97,-254.27,-253.10,-254.59,-208.26,-213.87,-180.62,-191.09,-115.22,-81.61,-67.12,-24.87,42.76,134.46,126.59,192.64,173.56,204.59,181.41,298.13,312.44,370.34,363.01,421.32,446.06,417.51,412.91,475.14,484.30,474.60,463.05,476.13,439.68,545.25,523.57,498.64,513.35,514.71,521.86,525.16,550.75,551.31,515.48,539.30,541.46,514.55,474.67,537.32,527.04,524.70,537.06,518.39,522.46,523.33,524.38,520.75,512.63,526.24,527.96,527.56,583.56,571.00,597.73,519.46,520.06,513.41,526.20,520.03,518.51,518.61,516.75,515.50,532.29,517.20,517.05,520.15,523.62,513.91,516.39,521.51,523.81,510.06
13.00,-5.280,-231.66,-235.51,-211.56,-238.21,-232.80,-253.44,-239.33,-380.94,-379.81,-364.86,-370.23,-287.95,-286.79,-288.41,-241.69,-247.75,-214.62,-225.14,-149.22,-115.62,-101.17,-59.45,8.67,100.47,92.58,158.74,139.48,170.73,147.10,263.58,276.98,333.21,328.21,385.81,411.75,383.91,376.69,438.71,448.07,438.30,426.32,439.45,402.71,508.40,486.64,461.41,476.42,477.34,484.29,487.58,513.06,513.41,477.97,501.53,503.83,476.40,436.77,499.19,489.07,486.73,499.20,480.49,484.62,485.39,486.53,482.66,474.47,488.12,489.76,489.58,545.14,532.31,559.38,479.96,481.29,474.40,486.72,482.96,479.65,479.69,477.68,476.57,493.01,477.02,478.27,481.06,483.15,474.65,476.77,482.41,484.67,471.25
13.50,-5.780,-249.86,-253.89,-229.76,-256.83,-251.17,-271.89,-257.87,-412.17,-411.24,-396.43,-402.20,-321.45,-319.98,-321.77,-275.07,-281.45,-248.43,-258.90,-182.92,-149.67,-134.87,-93.64,-25.03,66.69,58.79,125.22,105.69,137.28,113.10,229.03,241.91,298.35,293.75,350.48,377.88,347.86,341.11,402.49,412.19,402.32,389.99,403.01,366.30,471.97,450.05,424.46,439.21,440.26,447.19,450.09,475.61,476.17,440.55,464.02,466.53,438.84,398.96,461.41,452.46,448.79,461.62,442.69,446.88,447.89,448.87,444.67,436.52,450.23,451.51,451.48,506.76,493.11,521.91,442.18,442.49,435.70,447.71,444.24,440.76,440.82,438.57,437.55,454.78,437.35,440.02,442.21,443.51,435.49,438.21,442.88,445.29,431.28
14.00,-6.280,-267.81,-272.08,-247.62,-275.11,-269.24,-295.10,-276.06,-443.80,-443.00,-428.28,-434.69,-355.13,-353.51,-355.52,-308.85,-315.47,-282.49,-292.99,-217.29,-183.80,-168.85,-128.48,-59.11,32.65,24.52,91.35,71.41,103.43,78.67,194.31,206.81,263.39,258.88,314.81,343.56,311.73,305.10,365.99,375.17,365.79,353.27,366.01,328.94,435.10,413.24,387.15,401.94,402.73,409.54,412.41,437.85,438.23,402.40,425.81,428.44,401.56,360.71,423.01,414.34,410.61,423.39,404.59,408.66,409.70,410.60,406.19,398.14,412.07,413.18,413.04,468.17,454.39,483.71,402.79,403.02,396.20,408.53,405.57,401.03,401.40,398.96,397.93,415.61,397.98,400.63,402.95,403.57,396.34,398.17,403.74,405.41,391.19
14.50,-6.780,-284.81,-289.19,-264.63,-292.37,-286.26,-312.24,-293.36,-475.74,-474.92,-460.34,-467.15,-388.92,-387.36,-389.63,-342.93,-349.58,-316.90,-327.46,-251.79,-218.46,-203.27,-162.33,-93.37,-1.53,-10.04,57.25,36.84,69.31,44.06,159.34,170.82,228.13,222.95,278.80,308.94,275.61,268.35,328.65,337.38,330.89,316.19,328.73,291.50,398.06,375.95,349.61,363.81,365.00,371.66,374.51,399.87,400.28,363.96,387.43,390.14,362.84,322.10,384.39,375.78,371.95,384.90,366.11,370.06,371.59,372.19,367.41,359.53,373.57,374.45,374.63,429.31,415.22,444.51,363.95,363.32,356.36,368.88,365.82,361.21,361.60,359.11,358.09,374.97,358.36,360.44,362.73,363.83,357.76,359.50,363.47,365.26,351.10
15.00,-7.280,-302.31,-306.90,-282.20,-310.13,-303.85,-329.98,-311.18,-508.13,-507.24,-492.89,-499.82,-423.27,-421.65,-424.38,-377.28,-384.09,-351.47,-362.44,-286.70,-253.18,-238.35,-197.34,-128.00,-36.00,-44.71,22.73,1.88,34.89,9.12,123.98,135.15,192.21,185.70,242.38,274.05,238.13,231.23,291.74,300.05,293.76,278.68,290.73,253.81,360.54,338.35,311.70,325.44,326.74,333.29,336.32,361.45,361.72,325.25,348.44,351.28,324.58,283.06,345.34,336.83,333.02,346.11,327.23,331.14,332.61,333.33,328.28,320.54,334.52,335.31,335.78,390.41,375.51,404.76,322.92,323.06,315.83,330.06,325.69,320.95,321.40,318.59,317.49,334.26,317.57,319.58,321.60,322.91,315.26,318.40,321.60,323.90,310.58
15.50,-7.780,-320.43,-325.22,-300.39,-328.47,-322.19,-348.36,-329.63,-540.33,-539.83,-525.64,-533.25,-458.00,-456.26,-459.15,-411.95,-419.11,-386.76,-397.85,-321.88,-288.56,-273.71,-231.68,-162.96,-70.53,-79.71,-12.09,-33.31,0.17,-26.23,88.42,99.27,154.80,149.24,205.77,238.35,201.65,194.37,254.03,262.66,256.00,240.90,252.52,215.87,322.66,300.57,273.50,286.97,288.16,294.85,297.77,322.87,322.86,286.52,309.54,312.32,285.57,244.01,306.09,297.57,293.66,307.06,288.31,291.90,293.82,294.35,288.86,281.18,295.19,295.80,296.77,350.68,335.38,365.47,282.37,282.62,275.36,288.70,285.06,280.51,280.96,277.71,276.65,293.96,276.59,279.34,282.27,281.55,275.66,277.18,281.18,283.53,268.58
16.00,-8.280,-338.68,-343.66,-318.69,-347.01,-340.64,-366.86,-348.21,-572.33,-572.14,-558.14,-565.96,-492.36,-490.56,-493.52,-446.56,-453.85,-421.30,-432.96,-356.74,-323.48,-308.81,-266.43,-197.73,-104.98,-114.63,-46.76,-68.39,-34.43,-61.28,53.19,63.53,119.04,111.85,169.29,203.33,165.41,157.15,216.65,225.36,218.43,203.31,214.34,177.97,284.93,262.83,235.48,248.97,249.91,256.63,259.48,284.28,284.11,247.96,270.83,273.21,246.84,204.90,267.10,259.41,254.57,267.95,249.23,252.76,254.74,255.35,249.56,241.83,256.24,256.54,257.36,311.23,296.76,325.91,241.98,242.13,234.49,247.99,244.67,239.67,240.34,236.53,235.50,252.97,235.30,237.28,242.05,240.78,233.83,235.58,240.33,242.67,227.25
16.50,-8.780,-357.03,-362.23,-337.09,-365.64,-359.22,-385.45,-366.91,-604.10,-604.40,-590.50,-598.58,-526.78,-524.98,-528.00,-481.24,-488.50,-456.26,-468.17,-391.86,-358.74,-344.10,-301.78,-232.74,-139.96,-149.93,-81.81,-104.11,-69.46,-96.64,17.62,27.46,82.93,77.79,132.44,167.34,127.60,119.53,179.03,187.69,180.71,165.02,175.71,139.43,246.82,224.67,196.96,210.21,211.31,217.75,220.50,245.39,245.01,208.63,231.55,233.93,207.49,165.25,227.43,219.83,215.02,228.45,209.51,213.05,215.08,215.63,209.70,204.45,216.39,216.82,216.96,271.36,256.60,285.67,200.18,200.79,192.68,206.16,203.21,197.87,198.88,194.36,193.36,211.99,192.67,194.41,200.42,198.60,191.07,193.75,198.10,200.43,185.19
17.00,-9.280,-374.97,-380.38,-355.09,-383.99,-377.40,-403.78,-385.24,-636.72,-636.62,-622.82,-631.53,-561.23,-559.54,-562.88,-516.08,-523.43,-491.43,-503.92,-427.43,-394.28,-379.42,-338.10,-268.49,-176.24,-186.41,-117.72,-140.80,-105.34,-132.91,-18.84,-9.60,44.87,39.93,94.62,131.20,89.82,81.01,139.51,149.63,141.25,125.61,136.09,99.65,207.90,185.40,157.52,169.89,171.45,177.52,180.27,205.25,204.34,167.64,190.75,193.04,165.92,123.92,186.41,178.86,174.02,187.05,168.18,171.70,173.61,174.19,168.45,163.58,175.38,175.61,175.85,230.03,214.97,244.70,157.09,157.43,148.73,161.62,159.82,153.98,155.38,149.95,149.14,169.06,148.65,149.76,156.45,152.79,148.30,149.26,154.65,157.11,142.21
17.50,-9.780,-392.22,-397.85,-372.42,-401.55,-394.82,-421.36,-402.96,-670.03,-669.80,-656.17,-665.11,-596.63,-595.26,-598.92,-552.01,-559.45,-527.67,-540.80,-464.33,-431.56,-416.72,-376.08,-306.25,-214.58,-225.04,-156.02,-179.53,-143.59,-171.61,-57.65,-49.34,4.85,1.64,54.64,93.41,49.27,40.11,98.11,109.48,100.44,84.73,94.13,58.03,167.74,143.84,115.81,127.30,129.26,134.98,137.60,162.73,161.48,124.28,147.19,149.59,122.13,80.04,142.44,135.42,130.17,143.45,124.47,127.86,129.73,130.53,124.56,120.16,131.82,132.05,132.39,186.23,171.00,199.81,111.45,111.76,102.47,115.22,113.59,107.81,109.44,103.89,103.12,123.86,101.57,103.90,110.18,106.28,101.93,104.72,110.23,111.06,96.52
18.00,-10.280,-409.93,-415.98,-390.17,-419.47,-412.74,-439.46,-421.02,-703.69,-703.46,-690.22,-698.94,-632.98,-631.44,-635.35,-588.65,-596.05,-564.51,-578.33,-502.02,-469.50,-455.12,-415.15,-345.71,-254.77,-265.41,-196.13,-219.98,-183.82,-212.17,-98.39,-90.39,-36.48,-39.14,12.68,52.57,6.92,-2.81,55.41,66.92,57.95,41.44,50.36,14.40,124.66,100.54,72.14,83.03,85.22,90.65,93.07,117.89,116.81,79.11,102.04,104.54,77.80,35.45,97.08,90.19,84.90,98.18,79.11,82.49,84.23,85.10,79.86,74.95,86.63,86.58,87.21,140.49,125.15,153.59,64.33,64.16,54.62,68.30,66.22,60.23,62.13,56.35,55.70,76.55,54.00,57.91,63.72,60.35,55.13,56.49,62.42,64.09,48.34
18.50,-10.780,-428.16,-434.51,-408.60,-438.06,-431.26,-457.94,-439.64,-737.75,-737.44,-724.56,-733.50,-669.53,-667.99,-671.99,-625.53,-632.99,-601.88,-616.50,-540.24,-508.13,-494.19,-455.43,-386.43,-296.36,-307.22,-237.73,-261.83,-225.58,-254.18,-140.64,-132.71,-79.14,-81.95,-30.49,10.69,-36.05,-46.86,11.12,22.72,13.82,-2.73,5.19,-30.76,80.10,55.70,27.25,37.47,39.70,44.74,47.17,71.76,70.62,32.70,55.68,58.02,30.98,-10.59,50.37,43.58,38.31,51.55,32.43,35.66,37.57,38.40,33.70,28.21,42.86,39.75,39.64,93.36,76.72,106.76,15.06,15.56,5.78,19.63,17.61,11.50,13.60,7.73,7.18,28.13,5.45,9.20,15.20,10.34,6.46,6.64,13.47,15.03,-0.77
19.00,-11.280,-447.11,-453.57,-427.57,-457.23,-450.27,-477.02,-458.87,-771.83,-771.63,-759.12,-768.61,-706.27,-704.68,-708.89,-662.53,-670.30,-639.46,-654.83,-578.91,-547.27,-533.78,-496.49,-427.84,-338.52,-349.82,-280.15,-304.56,-268.21,-297.03,-183.58,-176.04,-122.15,-126.09,-74.55,-32.06,-81.45,-91.46,-33.49,-21.55,-31.37,-47.09,-40.07,-76.48,34.65,10.10,-18.78,-8.84,-6.54,-1.89,0.63,25.21,23.85,-14.27,8.84,11.20,-16.03,-57.56,3.39,-3.64,-8.96,4.44,-14.61,-11.50,-9.59,-8.65,-13.46,-19.29,-2.53,-7.66,-7.37,45.65,28.00,58.52,-33.88,-33.49,-43.32,-29.75,-30.95,-37.46,-35.26,-41.07,-41.64,-21.61,-43.06,-39.71,-35.33,-37.60,-42.74,-41.79,-36.38,-34.71,-49.85
19.50,-11.780,-465.99,-472.63,-446.39,-476.36,-469.35,-496.09,-478.12,-805.39,-805.75,-793.44,-803.17,-742.80,-741.29,-745.86,-699.39,-707.46,-676.75,-692.96,-617.26,-586.18,-573.03,-537.25,-469.20,-380.40,-392.35,-322.60,-347.22,-310.88,-339.82,-226.45,-219.30,-165.27,-169.24,-118.53,-74.65,-125.29,-136.01,-78.80,-65.85,-75.95,-92.24,-85.48,-122.08,-10.79,-35.48,-64.73,-54.99,-52.52,-48.19,-46.20,-21.26,-22.52,-60.61,-37.76,-35.36,-62.92,-104.00,-43.50,-50.67,-55.85,-42.16,-61.22,-58.12,-56.25,-55.15,-60.82,-66.44,-48.89,-54.96,-55.37,-1.72,-19.69,12.13,-82.38,-82.05,-91.82,-78.23,-79.09,-85.67,-83.56,-89.47,-89.96,-70.21,-91.19,-89.29,-83.88,-87.05,-91.38,-90.86,-83.77,-83.01,-97.41
20.00,-12.280,-483.99,-490.93,-464.60,-494.80,-487.75,-514.43,-496.70,-837.55,-838.63,-826.74,-837.29,-778.39,-776.83,-781.52,-735.29,-743.44,-712.85,-729.48,-654.23,-623.52,-610.86,-575.90,-509.31,-420.59,-433.37,-363.70,-388.58,-352.19,-381.34,-267.98,-260.48,-206.87,-210.29,-161.05,-115.90,-167.24,-179.13,-122.02,-109.60,-119.30,-135.10,-130.11,-166.09,-55.51,-79.81,-109.29,-99.37,-97.19,-92.83,-91.18,-66.09,-67.45,-105.08,-82.04,-80.14,-108.12,-148.97,-88.51,-95.92,-101.21,-86.98,-106.04,-103.03,-100.94,-99.43,-107.21,-112.14,-95.02,-100.59,-101.27,-47.16,-65.61,-33.83,-129.45,-128.73,-138.49,-124.79,-125.41,-132.35,-130.01,-136.11,-136.50,-117.27,-138.05,-136.25,-130.76,-132.59,-138.53,-138.29,-129.79,-129.21,-144.09
20.50,-12.780,-500.78,-507.88,-481.47,-511.75,-504.76,-531.50,-513.85,-869.05,-870.70,-859.16,-870.20,-812.84,-811.12,-816.25,-770.04,-778.40,-747.95,-764.94,-689.96,-659.62,-647.52,-613.22,-548.16,-459.75,-472.81,-403.56,-428.79,-392.20,-421.64,-308.08,-300.52,-247.95,-251.39,-202.29,-155.96,-208.92,-221.16,-164.03,-151.86,-161.36,-176.57,-173.31,-208.71,-100.34,-122.51,-152.44,-142.23,-140.32,-136.03,-134.33,-109.51,-110.85,-148.36,-125.34,-123.52,-151.38,-192.24,-132.13,-139.85,-145.24,-130.39,-149.49,-146.57,-143.88,-139.12,-152.03,-156.39,-140.72,-144.94,-145.76,-92.19,-110.00,-79.02,-174.83,-174.06,-183.73,-170.06,-170.77,-177.50,-175.15,-181.41,-181.81,-162.99,-183.99,-181.38,-176.95,-178.98,-183.10,-183.70,-174.78,-176.35,-189.84
21.00,-13.280,-516.81,-524.15,-497.46,-527.98,-520.92,-547.67,-530.25,-899.73,-901.81,-890.43,-901.95,-846.18,-844.29,-849.66,-803.39,-811.96,-781.87,-799.02,-724.28,-694.57,-682.70,-649.14,-585.61,-497.66,-511.14,-441.93,-467.32,-430.63,-460.47,-346.51,-338.69,-286.92,-290.84,-242.17,-194.72,-248.72,-261.12,-204.53,-192.48,-201.69,-217.81,-214.69,-249.75,-143.80,-163.57,-193.84,-184.01,-181.81,-177.59,-176.54,-151.30,-152.71,-190.06,-167.14,-165.15,-193.09,-234.31,-174.14,-182.26,-187.59,-172.35,-191.45,-188.63,-184.34,-177.35,-195.34,-198.87,-185.80,-187.72,-188.23,-134.71,-153.04,-122.62,-218.40,-217.71,-227.41,-213.65,-214.74,-220.87,-218.74,-225.14,-225.59,-206.96,-228.74,-225.28,-220.17,-222.84,-228.12,-227.20,-218.33,-221.03,-234.39
21.50,-13.780,-533.53,-540.85,-514.14,-544.87,-537.59,-564.39,-547.26,-931.07,-932.75,-921.60,-933.58,-879.33,-877.29,-882.75,-836.51,-845.25,-815.53,-833.12,-758.49,-729.37,-717.70,-684.68,-622.86,-535.54,-549.22,-479.78,-505.59,-468.66,-498.80,-384.43,-376.51,-326.14,-329.74,-281.42,-232.84,-288.88,-301.32,-244.95,-232.59,-241.66,-258.22,-255.44,-290.49,-184.83,-204.22,-234.68,-225.18,-222.80,-218.96,-218.17,-192.84,-194.36,-231.95,-209.06,-206.99,-235.04,-276.31,-215.43,-224.44,-229.70,-214.29,-233.45,-230.64,-224.90,-215.61,-237.60,-240.95,-229.28,-229.56,-230.23,-176.94,-195.45,-164.92,-262.67,-261.19,-271.41,-257.67,-258.36,-265.31,-262.19,-268.86,-269.36,-251.18,-272.57,-268.90,-264.72,-267.41,-271.87,-271.50,-262.72,-264.93,-278.26
22.00,-14.280,-551.60,-558.97,-532.20,-563.14,-552.50,-582.51,-565.68,-963.17,-964.71,-953.59,-965.94,-913.07,-910.96,-916.75,-870.54,-879.52,-850.09,-868.00,-793.55,-764.92,-753.34,-720.64,-660.59,-574.10,-587.90,-518.31,-544.34,-507.46,-537.80,-423.00,-415.10,-365.42,-369.34,-321.17,-271.32,-329.13,-342.27,-286.12,-273.99,-282.38,-299.36,-296.48,-331.94,-226.05,-245.48,-276.17,-267.31,-264.72,-261.13,-260.87,-235.03,-236.75,-274.37,-251.81,-249.72,-277.74,-318.99,-257.90,-266.99,-272.32,-256.74,-276.10,-273.14,-266.26,-254.25,-280.31,-283.42,-272.53,-272.09,-273.42,-219.97,-238.23,-207.80,-306.86,-305.08,-315.77,-301.71,-302.43,-308.09,-306.19,-313.04,-313.50,-295.63,-316.53,-313.79,-309.10,-310.63,-316.39,-315.14,-307.53,-309.68,-321.94
22.50,-14.780,-571.26,-578.78,-551.90,-583.08,-572.43,-602.31,-585.68,-995.52,-997.20,-986.12,-998.78,-947.34,-945.32,-951.25,-905.18,-914.23,-885.19,-903.32,-829.10,-800.83,-789.44,-757.50,-698.68,-612.89,-626.79,-557.21,-583.45,-546.73,-577.15,-461.95,-454.21,-404.07,-409.15,-361.23,-310.34,-368.49,-383.21,-327.59,-314.93,-323.06,-340.89,-338.26,-373.84,-267.70,-287.30,-318.20,-309.79,-307.08,-303.50,-303.78,-278.01,-279.58,-317.45,-294.80,-292.65,-320.81,-362.17,-300.50,-310.02,-315.59,-299.71,-319.23,-316.20,-309.31,-297.45,-323.60,-326.31,-315.40,-314.86,-316.92,-262.69,-281.31,-250.65,-351.40,-349.57,-360.56,-346.20,-346.82,-352.32,-350.55,-357.48,-358.02,-339.86,-360.39,-358.33,-354.43,-355.66,-361.51,-360.65,-345.80,-355.23,-366.20
23.00,-15.280,-591.07,-598.66,-571.68,-603.01,-592.40,-622.32,-605.72,-1025.74,-1028.80,-1018.02,-1031.08,-981.16,-979.20,-985.06,-939.34,-948.38,-919.55,-937.54,-863.49,-835.80,-824.70,-793.83,-736.04,-650.38,-664.90,-595.59,-621.59,-585.49,-615.98,-500.57,-492.38,-443.51,-448.73,-401.06,-349.07,-408.65,-423.61,-368.02,-356.06,-363.77,-381.58,-379.57,-414.94,-309.03,-328.66,-359.95,-351.29,-349.02,-345.33,-345.47,-319.91,-321.66,-359.12,-336.42,-334.13,-362.74,-403.79,-341.67,-352.31,-357.86,-341.21,-360.83,-357.71,-350.85,-339.26,-365.85,-368.84,-357.62,-357.47,-359.61,-305.24,-323.78,-293.98,-394.65,-392.87,-403.12,-389.08,-389.96,-396.61,-393.40,-400.55,-400.99,-383.18,-403.18,-401.90,-397.29,-398.46,-405.46,-403.34,-389.21,-399.04,-409.68
23.50,-15.780,-609.71,-617.29,-590.28,-621.75,-611.19,-641.01,-624.61,-1055.80,-1058.97,-1048.34,-1061.77,-1013.60,-1011.60,-1017.56,-972.13,-981.37,-952.56,-970.92,-896.96,-869.67,-858.98,-828.66,-771.85,-687.01,-701.61,-632.34,-658.62,-622.86,-653.69,-537.97,-529.85,-480.94,-486.90,-439.44,-386.45,-447.66,-462.88,-407.59,-395.31,-403.26,-421.28,-420.14,-455.33,-349.13,-368.89,-400.78,-392.06,-390.19,-386.37,-386.82,-361.16,-362.89,-400.45,-378.02,-375.88,-404.10,-445.20,-383.36,-393.79,-399.41,-382.63,-402.30,-399.16,-392.29,-380.86,-407.58,-410.22,-399.61,-399.10,-401.35,-347.07,-365.54,-335.87,-437.31,-435.53,-445.12,-431.66,-432.84,-439.36,-435.85,-443.66,-443.84,-425.73,-446.75,-445.89,-440.10,-441.46,-450.19,-446.55,-433.04,-441.62,-453.11
24.00,-16.280,-627.73,-635.41,-608.38,-640.02,-629.39,-659.15,-642.96,-1085.43,-1089.09,-1078.30,-1092.21,-1045.80,-1043.86,-1050.06,-1004.71,-1014.26,-985.74,-1004.21,-930.63,-903.48,-893.20,-863.32,-807.48,-723.23,-737.86,-668.86,-695.34,-660.13,-691.23,-575.37,-567.42,-518.33,-524.86,-478.15,-423.80,-486.87,-502.30,-446.91,-434.81,-442.73,-461.14,-460.25,-495.54,-389.28,-409.26,-441.47,-433.13,-431.21,-427.48,-427.96,-402.54,-404.21,-441.83,-419.40,-417.31,-445.55,-486.56,-420.34,-435.23,-440.93,-423.99,-443.58,-440.43,-433.61,-421.50,-449.11,-451.70,-441.73,-440.51,-443.13,-388.78,-407.44,-377.56,-480.19,-478.21,-487.77,-474.30,-475.52,-481.87,-478.31,-486.12,-486.97,-469.03,-489.63,-489.07,-483.24,-484.57,-493.38,-489.52,-476.19,-484.86,-496.23
